index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[622761],-7.796,1.002,-9.635,-5.879,0.03,0.02,1124.0,1162.0,1.0
1|batter[623168],-1.38,3.07,-6.938,4.426,0.08,0.061,1450.0,1461.0,1.0
1|batter[623520],-4.95,1.678,-7.921,-1.668,0.047,0.031,1284.0,1292.0,1.0
1|batter[623912],-4.547,0.796,-6.129,-3.121,0.039,0.018,454.0,1192.0,1.02
1|batter[623993],7.007,0.654,5.737,8.187,0.046,0.013,206.0,1267.0,1.03
1|batter[624413],2.626,0.647,1.436,3.838,0.052,0.014,149.0,1234.0,1.03
1|batter[624415],-5.897,1.131,-8.08,-3.816,0.038,0.023,897.0,1460.0,1.01
1|batter[624424],4.355,0.739,2.905,5.656,0.045,0.016,267.0,1050.0,1.02
1|batter[624428],-3.95,0.807,-5.508,-2.505,0.032,0.016,653.0,1136.0,1.01
1|batter[624431],0.778,0.994,-1.064,2.67,0.031,0.02,1054.0,1402.0,1.01
1|batter[624503],-7.476,0.714,-8.826,-6.135,0.049,0.015,215.0,1111.0,1.02
1|batter[624512],-0.904,1.095,-2.971,1.106,0.029,0.024,1444.0,1403.0,1.01
1|batter[624585],-13.446,0.656,-14.643,-12.209,0.054,0.014,148.0,941.0,1.02
1|batter[624641],-2.897,0.764,-4.355,-1.495,0.038,0.016,400.0,1010.0,1.02
1|batter[628451],-1.021,0.866,-2.658,0.555,0.039,0.016,496.0,822.0,1.01
1|batter[630105],1.154,0.681,-0.158,2.404,0.055,0.019,150.0,728.0,1.03
1|batter[640492],-4.188,1.477,-6.97,-1.442,0.041,0.031,1294.0,1405.0,1.0
1|batter[640902],-6.231,1.634,-9.713,-3.576,0.039,0.038,1681.0,1466.0,1.01
1|batter[641313],-0.378,0.83,-1.957,1.156,0.029,0.018,804.0,1490.0,1.01
1|batter[641343],-1.406,0.814,-2.878,0.168,0.032,0.017,649.0,1168.0,1.01
1|batter[641355],-0.62,0.765,-2.144,0.754,0.041,0.018,349.0,824.0,1.02
1|batter[641432],8.395,1.159,6.329,10.644,0.044,0.024,701.0,1205.0,1.01
1|batter[641487],11.379,0.939,9.686,13.202,0.029,0.02,1036.0,1284.0,1.01
1|batter[641511],-4.13,4.172,-12.324,3.381,0.126,0.09,1104.0,1141.0,1.0
1|batter[641584],-8.974,0.763,-10.379,-7.509,0.039,0.016,382.0,1038.0,1.02
1|batter[641598],2.893,0.905,1.134,4.464,0.056,0.02,254.0,902.0,1.02
1|batter[641645],-1.158,0.807,-2.534,0.41,0.037,0.017,471.0,1218.0,1.02
1|batter[641658],3.781,1.093,1.774,5.867,0.04,0.024,726.0,1047.0,1.01
1|batter[641680],4.254,0.722,2.817,5.478,0.029,0.015,613.0,1067.0,1.01
1|batter[641779],-1.478,2.821,-6.293,4.262,0.073,0.057,1496.0,1424.0,1.0
1|batter[641856],4.786,2.228,0.173,8.468,0.057,0.048,1534.0,1553.0,1.0
1|batter[641857],-7.413,0.534,-8.455,-6.46,0.067,0.011,64.0,591.0,1.04
1|batter[641933],-3.245,0.76,-4.753,-1.939,0.036,0.018,457.0,1273.0,1.02
