index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[624512],3.03,0.992,1.137,4.889,0.024,0.022,1732.0,1321.0,1.0
1|batter[624585],2.067,0.593,0.964,3.19,0.025,0.013,565.0,1221.0,1.01
1|batter[624641],3.666,0.675,2.304,4.847,0.025,0.016,750.0,1102.0,1.01
1|batter[628451],0.616,0.783,-0.876,1.993,0.026,0.021,903.0,1058.0,1.01
1|batter[630105],-10.487,0.573,-11.558,-9.433,0.027,0.015,451.0,872.0,1.01
1|batter[640492],-7.756,1.3,-10.212,-5.373,0.03,0.029,1875.0,1462.0,1.0
1|batter[640902],3.49,1.423,0.911,6.22,0.031,0.031,2130.0,1651.0,1.0
1|batter[641313],3.148,0.737,1.71,4.489,0.024,0.016,955.0,1194.0,1.0
1|batter[641343],-1.866,0.696,-3.086,-0.472,0.02,0.014,1241.0,1490.0,1.01
1|batter[641355],2.116,0.682,0.895,3.459,0.029,0.016,537.0,1054.0,1.01
1|batter[641432],-5.883,1.088,-7.865,-3.912,0.029,0.025,1428.0,1461.0,1.0
1|batter[641487],-18.899,0.862,-20.416,-17.203,0.022,0.021,1531.0,1229.0,1.0
1|batter[641511],-2.731,4.151,-10.333,5.114,0.091,0.099,2081.0,1327.0,1.0
1|batter[641584],-13.463,0.722,-14.809,-12.13,0.021,0.017,1215.0,966.0,1.0
1|batter[641598],8.073,0.761,6.701,9.573,0.023,0.021,1080.0,1057.0,1.01
1|batter[641645],2.502,0.696,1.314,3.847,0.024,0.016,850.0,1439.0,1.01
1|batter[641658],-3.815,0.94,-5.543,-2.036,0.029,0.025,1070.0,897.0,1.0
1|batter[641680],3.962,0.637,2.817,5.16,0.02,0.015,1021.0,1131.0,1.0
1|batter[641779],-10.62,2.679,-15.462,-5.506,0.064,0.058,1767.0,1358.0,1.01
1|batter[641856],-3.797,2.104,-7.873,-0.155,0.049,0.053,1835.0,1160.0,1.0
1|batter[641857],2.395,0.454,1.551,3.237,0.026,0.009,306.0,981.0,1.01
1|batter[641933],8.964,0.66,7.643,10.146,0.024,0.015,772.0,1395.0,1.0
1|batter[641943],1.298,1.366,-1.269,3.818,0.032,0.032,1844.0,1347.0,1.0
1|batter[642020],5.946,1.084,3.954,8.024,0.023,0.022,2169.0,1484.0,1.0
1|batter[642086],-0.448,0.9,-2.169,1.199,0.027,0.022,1145.0,1217.0,1.0
1|batter[642133],-1.597,0.699,-2.892,-0.319,0.039,0.014,317.0,946.0,1.01
1|batter[642136],2.577,0.889,0.937,4.265,0.028,0.019,1064.0,1553.0,1.01
1|batter[642180],-3.683,0.928,-5.394,-1.977,0.025,0.02,1398.0,1243.0,1.0
1|batter[642197],10.344,1.198,8.316,12.84,0.028,0.027,1876.0,1468.0,1.0
1|batter[642201],-1.65,1.758,-4.759,1.943,0.037,0.045,2227.0,1285.0,1.0
1|batter[642215],5.57,1.137,3.449,7.788,0.026,0.031,1974.0,1150.0,1.0
1|batter[642350],4.873,0.57,3.804,5.949,0.023,0.013,635.0,1262.0,1.01
1|batter[642708],2.268,0.705,0.937,3.566,0.023,0.016,959.0,1115.0,1.01
1|batter[642715],5.968,0.577,4.798,6.954,0.023,0.014,634.0,1047.0,1.01
1|batter[642731],0.127,0.813,-1.371,1.641,0.024,0.019,1112.0,1254.0,1.0
1|batter[642851],-6.855,2.179,-10.902,-2.676,0.044,0.053,2407.0,1472.0,1.0
1|batter[643217],-4.261,0.757,-5.698,-2.883,0.03,0.017,665.0,661.0,1.01
1|batter[643265],-4.813,1.12,-6.703,-2.573,0.027,0.027,1734.0,1478.0,1.0
1|batter[643289],-1.651,0.585,-2.715,-0.52,0.023,0.012,623.0,1228.0,1.01
1|batter[643376],4.532,0.912,2.803,6.212,0.027,0.02,1119.0,1208.0,1.01
1|batter[643393],3.707,4.173,-4.462,10.771,0.079,0.092,2778.0,1477.0,1.0
1|batter[643396],-9.6,0.765,-10.978,-8.147,0.028,0.016,745.0,1309.0,1.01
1|batter[643446],-9.324,0.709,-10.689,-8.073,0.024,0.015,830.0,1493.0,1.0
1|batter[643565],-6.085,0.697,-7.407,-4.81,0.022,0.015,972.0,1194.0,1.0
1|batter[644433],4.082,2.007,0.676,8.047,0.052,0.053,1455.0,1466.0,1.0
1|batter[645277],-4.321,0.889,-6.01,-2.711,0.026,0.019,1207.0,1331.0,1.0
1|batter[645302],5.74,0.686,4.41,6.974,0.031,0.015,508.0,1265.0,1.01
1|batter[645305],2.044,1.241,-0.118,4.547,0.031,0.031,1626.0,1253.0,1.01
1|batter[645444],-4.472,1.145,-6.582,-2.43,0.034,0.025,1106.0,1384.0,1.0
1|batter[645801],1.892,1.706,-1.281,5.109,0.039,0.039,1957.0,1266.0,1.0
1|batter[646240],5.595,0.567,4.601,6.739,0.023,0.012,619.0,1149.0,1.01
1|batter[647304],0.403,0.511,-0.601,1.344,0.023,0.012,493.0,933.0,1.01
1|batter[647351],-3.024,0.824,-4.436,-1.375,0.023,0.017,1319.0,1483.0,1.0
1|batter[649557],0.429,1.838,-3.257,3.847,0.041,0.046,2036.0,1195.0,1.01
1|batter[649966],14.752,1.289,12.418,17.277,0.034,0.04,1443.0,1227.0,1.0
1|batter[650333],-14.29,0.728,-15.531,-12.802,0.022,0.016,1099.0,1210.0,1.01
1|batter[650391],1.997,0.717,0.751,3.517,0.022,0.016,1029.0,1133.0,1.01
1|batter[650402],-2.265,0.583,-3.302,-1.147,0.022,0.011,674.0,1656.0,1.01
1|batter[650489],-5.08,0.579,-6.103,-3.93,0.019,0.012,915.0,1246.0,1.01
1|batter[650490],3.544,0.635,2.375,4.731,0.021,0.012,907.0,1190.0,1.0
1|batter[650559],2.627,0.531,1.596,3.557,0.028,0.01,351.0,1193.0,1.02
1|batter[650859],1.65,0.712,0.276,2.947,0.025,0.016,800.0,1154.0,1.01
1|batter[650907],7.628,1.617,4.64,10.739,0.039,0.035,1731.0,1311.0,1.0
1|batter[655316],-6.997,1.087,-8.91,-4.901,0.025,0.024,1913.0,1495.0,1.0
1|batter[656180],-2.979,0.844,-4.527,-1.434,0.019,0.02,1979.0,1127.0,1.0
1|batter[656248],1.396,1.307,-0.93,3.816,0.033,0.026,1591.0,1447.0,1.0
1|batter[656305],3.516,0.567,2.492,4.591,0.041,0.011,196.0,1140.0,1.02
1|batter[656413],1.306,1.024,-0.727,3.027,0.03,0.023,1194.0,1093.0,1.0
1|batter[656448],7.187,2.9,1.849,12.698,0.055,0.066,2793.0,1420.0,1.0
1|batter[656484],3.01,1.879,-0.431,6.523,0.044,0.047,1789.0,1340.0,1.0
1|batter[656537],0.751,0.991,-1.154,2.534,0.024,0.024,1753.0,1258.0,1.0
1|batter[656541],0.151,0.951,-1.657,1.897,0.026,0.021,1374.0,1500.0,1.0
1|batter[656555],6.347,0.729,4.988,7.671,0.028,0.014,671.0,1568.0,1.0
1|batter[656577],3.246,1.002,1.307,4.978,0.026,0.024,1484.0,1152.0,1.01
1|batter[656582],-8.8,0.816,-10.26,-7.211,0.023,0.021,1232.0,1226.0,1.01
1|batter[656716],-4.875,0.734,-6.218,-3.491,0.026,0.015,774.0,1243.0,1.01
1|batter[656775],2.216,0.615,1.177,3.454,0.029,0.016,435.0,1000.0,1.01
1|batter[656811],-2.373,0.609,-3.461,-1.217,0.031,0.012,395.0,1382.0,1.02
1|batter[656883],0.481,3.302,-5.962,6.315,0.084,0.089,1554.0,980.0,1.0
1|batter[656896],-2.333,0.791,-3.973,-0.984,0.022,0.017,1316.0,1161.0,1.0
1|batter[656941],8.593,0.584,7.48,9.633,0.022,0.012,682.0,1211.0,1.0
