index,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|batter[624513],-5.389,3.374,-11.545,1.381,0.071,0.076,2242.0,1714.0,1.0
1|batter[624523],0.264,4.15,-7.822,7.538,0.092,0.104,2046.0,1223.0,1.0
1|batter[624585],5.432,1.021,3.441,7.233,0.017,0.025,3539.0,1391.0,1.0
1|batter[624641],3.185,0.88,1.539,4.863,0.016,0.019,2848.0,1506.0,1.0
1|batter[628451],0.142,1.189,-1.984,2.377,0.02,0.028,3512.0,1403.0,1.0
1|batter[630105],-6.329,0.965,-8.077,-4.524,0.016,0.025,3688.0,1563.0,1.0
1|batter[640459],2.133,3.322,-4.191,8.041,0.058,0.078,3264.0,1425.0,1.0
1|batter[640492],1.128,3.193,-4.828,6.91,0.056,0.077,3294.0,1513.0,1.0
1|batter[640902],2.89,1.227,0.393,4.983,0.023,0.03,2755.0,1538.0,1.0
1|batter[641313],-2.193,1.682,-5.098,1.164,0.027,0.042,3921.0,1413.0,1.0
1|batter[641343],4.606,1.416,1.998,7.239,0.023,0.035,3885.0,1284.0,1.0
1|batter[641355],-3.958,1.026,-5.826,-1.96,0.017,0.026,3836.0,1554.0,1.0
1|batter[641487],-9.327,1.239,-11.554,-6.917,0.021,0.031,3352.0,1441.0,1.0
1|batter[641555],-0.438,1.749,-3.721,2.778,0.03,0.035,3428.0,1589.0,1.0
1|batter[641584],0.044,1.278,-2.298,2.509,0.02,0.031,4018.0,1569.0,1.0
1|batter[641598],-0.015,1.382,-2.471,2.717,0.023,0.034,3581.0,1384.0,1.0
1|batter[641645],5.568,2.607,0.721,10.425,0.048,0.062,2911.0,1427.0,1.0
1|batter[641658],-6.029,2.152,-10.458,-2.195,0.032,0.059,4619.0,1379.0,1.0
1|batter[641680],-1.169,0.869,-2.8,0.428,0.014,0.019,3618.0,1624.0,1.0
1|batter[641796],-19.323,2.972,-25.037,-13.871,0.064,0.062,2128.0,1742.0,1.0
1|batter[641820],0.338,2.704,-4.521,5.365,0.059,0.059,2067.0,1599.0,1.0
1|batter[641856],1.074,2.883,-4.579,6.209,0.049,0.075,3517.0,1392.0,1.0
1|batter[641857],4.336,0.698,3.078,5.716,0.014,0.015,2634.0,1641.0,1.01
1|batter[641933],2.977,1.641,-0.116,5.958,0.032,0.035,2580.0,1508.0,1.0
1|batter[641943],0.975,1.22,-1.423,3.119,0.021,0.028,3408.0,1721.0,1.0
1|batter[642020],-1.214,2.593,-6.283,3.349,0.06,0.059,1858.0,1378.0,1.0
1|batter[642086],-5.451,1.413,-7.967,-2.726,0.023,0.033,4314.0,1457.0,1.0
1|batter[642133],0.738,1.289,-1.749,3.079,0.021,0.031,3846.0,1541.0,1.0
1|batter[642136],-0.72,1.329,-3.196,1.836,0.02,0.029,4373.0,1768.0,1.0
1|batter[642180],-7.927,1.12,-9.85,-5.743,0.021,0.023,2874.0,1884.0,1.0
1|batter[642201],1.493,1.048,-0.408,3.43,0.017,0.022,3598.0,1739.0,1.0
1|batter[642215],1.053,1.759,-2.246,4.246,0.025,0.042,4909.0,1455.0,1.01
1|batter[642350],5.213,1.554,2.278,7.954,0.029,0.036,2960.0,1533.0,1.0
1|batter[642708],4.647,1.25,2.302,6.905,0.022,0.03,3276.0,1444.0,1.0
1|batter[642715],0.063,0.961,-1.728,1.864,0.016,0.021,3593.0,1566.0,1.0
1|batter[642727],1.231,3.424,-5.552,7.41,0.077,0.077,1985.0,1393.0,1.0
1|batter[642731],1.65,1.816,-1.707,5.026,0.029,0.042,4036.0,1620.0,1.01
1|batter[642851],-3.181,1.567,-6.004,-0.113,0.027,0.042,3507.0,1463.0,1.01
1|batter[643217],-7.506,1.376,-10.002,-4.866,0.023,0.035,3714.0,1328.0,1.01
1|batter[643289],0.895,0.917,-0.777,2.62,0.017,0.02,2796.0,1461.0,1.0
1|batter[643376],-7.098,1.539,-9.891,-4.143,0.026,0.038,3430.0,1462.0,1.0
